# Source addresses observed sending one of six forged AI crawler user agents on a single HTTP client fingerprint, 28 July to 23 August 2026. The six names belong to Anthropic, OpenAI, Google and Perplexity. This is a complete enumeration of that population, 824 addresses, not a top-N sample or a volume ranking. Not one of them falls inside any address range those four companies publish for their crawlers. Classification as measured 2026-08-27: 806 malicious, 18 unknown, 0 benign; rows that carry no GreyNoise classification are not asserted as indicators. Two classes of row must not be treated as ordinary origins and the tool_fingerprint_observed column marks both: cloud-tenant-address-verify-before-denying marks hyperscaler tenant space, which is reassigned within days, so re-verify against current activity before denying; shared-egress-do-not-block marks an exit shared with unrelated users, and denying it denies them too. The fingerprint column names a software build seen on that address, never an actor and never a coordinated group. GreyNoise observes requests arriving and never outcomes: nothing here says a file was returned or that any organization was affected. TLP:CLEAR.
ip,sessions,tool_fingerprint_observed
34.125.117.155,1736,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
8.228.7.128,1736,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.142.209.44,1722,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.12.136.201,1719,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.6.27.20,1719,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.156.13.220,1715,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.67.216.136,1711,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
35.252.157.219,1708,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.180.75.62,1703,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.34.118.230,1700,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.125.199.69,1698,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.79.187.104,1696,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
8.228.25.101,1688,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.34.15.42,1684,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
207.175.180.140,1675,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
35.232.215.74,1664,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
35.247.66.185,1662,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
8.228.12.9,1656,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.90.144.127,1637,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
35.199.2.105,1637,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
35.252.157.190,1627,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
