plugin,days_observed,pct_days_coverage,total_records,unique_ips
really-simple-captcha,24,26.1,48,19
securimage-wp,24,26.1,46,21
ninja-forms,23,25,46,19
regenerate-thumbnails,23,25,47,18
stops-core-theme-and-plugin-updates,23,25,46,19
user-meta,23,25,73,27
user-role-editor,23,25,46,19
wp-mail-logging,23,25,45,19
wp-reviews-plugin-for-google,23,25,46,19
wpvivid-backuprestore,23,25,44,19
cookie-law-info,22,23.9,34,22
event-monster,22,23.9,72,26
mainwp-child,22,23.9,45,18
metform,22,23.9,46,18
official-facebook-pixel,22,23.9,45,18
password-protected,22,23.9,45,17
pdf-embedder,22,23.9,46,18
pinterest-for-woocommerce,22,23.9,45,18
pixelyoursite,22,23.9,45,18
sg-cachepress,22,23.9,46,18
sticky-header-effects-for-elementor,22,23.9,45,18
sucuri-scanner,22,23.9,46,18
templately,22,23.9,45,18
tinymce-advanced,22,23.9,45,18
under-construction-page,22,23.9,45,18
userfeedback-lite,22,23.9,45,18
webp-converter-for-media,22,23.9,45,18
woo-checkout-field-editor-pro,22,23.9,44,18
worker,22,23.9,45,18
wp-crontrol,22,23.9,45,18
wp-google-maps,22,23.9,47,18
wp-maintenance-mode,22,23.9,45,18
wp-multibyte-patch,22,23.9,45,18
wp-pagenavi,22,23.9,45,18
wp-reset,22,23.9,45,18
wp-rollback,22,23.9,45,18
easy-wp-smtp,21,22.8,43,17
ga-google-analytics,21,22.8,29,18
jetpack-boost,21,22.8,45,17
kadence-blocks,21,22.8,45,17
mailpoet,21,22.8,45,17
maintenance,21,22.8,44,17
malcare-security,21,22.8,45,17
megamenu,21,22.8,45,17
members,21,22.8,45,17
meta-box,21,22.8,45,17
ml-slider,21,22.8,45,17
newsletter,21,22.8,45,17
nextend-facebook-connect,21,22.8,45,17
one-click-demo-import,21,22.8,45,17
otter-blocks,21,22.8,44,17
protect-wp-admin,21,22.8,67,24
safe-svg,21,22.8,45,17
so-widgets-bundle,21,22.8,44,17
taxonomy-terms-order,21,22.8,44,17
translatepress-multilingual,21,22.8,44,17
webp-express,21,22.8,44,17
woo-cart-abandonment-recovery,21,22.8,44,17
woo-variation-swatches,21,22.8,44,17
wordpress-importer,21,22.8,44,17
wp-mail-smtp,21,22.8,44,17
wp-smushit,21,22.8,43,17
wpcf7-recaptcha,21,22.8,44,17
backwpup,20,21.7,30,19
cloudflare,20,21.7,28,17
coblocks,20,21.7,28,17
font-awesome,20,21.7,28,17
photo-gallery,20,21.7,43,16
php-compatibility-checker,20,21.7,42,16
polylang,20,21.7,43,16
popup-builder,20,21.7,43,16
premium-addons-for-elementor,20,21.7,43,16
pretty-link,20,21.7,44,16
simple-custom-post-order,20,21.7,44,16
simple-history,20,21.7,43,16
simple-page-ordering,20,21.7,43,16
speedycache,20,21.7,43,16
tablepress,20,21.7,44,16
themeisle-companion,20,21.7,44,16
velvet-blues-update-urls,20,21.7,43,16
woo-inpost,20,21.7,43,16
woocommerce-gateway-paypal-express-checkout,20,21.7,43,16
woocommerce-legacy-rest-api,20,21.7,43,16
woocommerce-pdf-invoices-packing-slips,20,21.7,43,16
woocommerce-services,20,21.7,43,16
yith-woocommerce-wishlist,20,21.7,43,16
amp,19,20.7,27,16
antispam-bee,19,20.7,27,16
broken-link-checker,19,20.7,27,16
google-sitemap-generator,19,20.7,28,15
gtranslate,19,20.7,30,15
gutenberg,19,20.7,37,15
happy-elementor-addons,19,20.7,36,15
header-and-footer-scripts,19,20.7,37,15
header-footer,19,20.7,38,15
header-footer-code-manager,19,20.7,38,15
hunk-companion,19,20.7,43,15
image-optimization,19,20.7,43,15
imagify,19,20.7,43,15
instagram-feed,19,20.7,43,15
intuitive-custom-post-order,19,20.7,43,15
kirki,19,20.7,42,15
leadin,19,20.7,43,15
limit-login-attempts,19,20.7,42,15
loco-translate,19,20.7,43,15
loginpress,19,20.7,42,15
mailchimp-for-woocommerce,19,20.7,43,15
ocean-extra,19,20.7,41,15
post-types-order,19,20.7,43,15
shortcodes-ultimate,19,20.7,43,15
shortpixel-image-optimiser,19,20.7,43,15
siteorigin-panels,19,20.7,42,15
ssl-insecure-content-fixer,19,20.7,42,15
table-of-contents-plus,19,20.7,42,15
unyson,19,20.7,42,15
use-any-font,19,20.7,42,15
widget-importer-exporter,19,20.7,42,15
woocommerce-gateway-stripe,19,20.7,42,15
woocommerce-paypal-payments,19,20.7,42,15
woosidebars,19,20.7,42,15
wp-migrate-db,19,20.7,42,15
wp-sitemap-page,19,20.7,42,15
ad-inserter,18,19.6,25,15
add-to-any,18,19.6,26,15
admin-menu-editor,18,19.6,24,15
aryo-activity-log,18,19.6,26,15
breadcrumb-navxt,18,19.6,26,15
classic-editor,18,19.6,26,15
cmb2,18,19.6,26,15
contact-form-7-honeypot,18,19.6,26,15
contact-form-cfdb7,18,19.6,26,15
cookie-notice,18,19.6,26,15
copy-delete-posts,18,19.6,26,15
creame-whatsapp-me,18,19.6,26,15
creative-mail-by-constant-contact,18,19.6,26,15
custom-css-js,18,19.6,25,15
custom-fonts,18,19.6,26,15
custom-post-type-ui,18,19.6,26,15
disable-gutenberg,18,19.6,26,15
duracelltomi-google-tag-manager,18,19.6,26,15
easy-fancybox,18,19.6,26,15
easy-google-fonts,18,19.6,26,15
easy-table-of-contents,18,19.6,26,15
elementskit-lite,18,19.6,26,15
enable-media-replace,18,19.6,26,15
extendify,18,19.6,26,15
facebook-for-woocommerce,18,19.6,26,15
fast-indexing-api,18,19.6,26,15
favicon-by-realfavicongenerator,18,19.6,26,15
flamingo,18,19.6,26,15
gdpr-cookie-compliance,18,19.6,26,15
google-analytics-dashboard-for-wp,18,19.6,26,15
google-listings-and-ads,18,19.6,26,15
health-check,18,19.6,38,14
hello-dolly,18,19.6,38,14
host-webfonts-local,18,19.6,39,14
imsanity,18,19.6,42,14
inpost-for-woocommerce,18,19.6,42,14
yith-woocommerce-compare,18,19.6,40,14
all-404-redirect-to-homepage,17,18.5,25,14
black-studio-tinymce-widget,17,18.5,25,14
breeze,17,18.5,25,14
burst-statistics,17,18.5,25,14
chaty,17,18.5,25,14
child-theme-configurator,17,18.5,25,14
classic-widgets,17,18.5,25,14
click-to-chat-for-whatsapp,17,18.5,25,14
flexmls-idx,17,18.5,25,14
force-regenerate-thumbnails,17,18.5,25,14
wp-ticket,17,18.5,37,15
ai-engine,16,17.4,50,21
astra-widgets,16,17.4,24,13
backuply,16,17.4,24,13
wp-event-solution,15,16.3,25,19
wp-registration,14,15.2,22,16
"*"",""",12,13,16,16
podlove-podcasting-plugin-for-wordpress,12,13,15,12
gutenkit-blocks-addon,10,10.9,26,6
order-delivery-date,9,9.8,10,7
suretriggers,9,9.8,17,12
