plugin,days_observed,unique_ips,total_records,category
drag-and-drop-multiple-file-upload-contact-form-7,34,40,147,Strategic Targets
drag-and-drop-multiple-file-upload-for-woocommerce,34,54,101,Strategic Targets
embed-swagger,34,39,96,Strategic Targets
s3-video,34,40,96,Strategic Targets
aviary-image-editor-add-on-for-gravity-forms,33,46,88,Strategic Targets
dm-albums,33,51,109,Strategic Targets
smart-manager-for-wp-e-commerce,33,35,68,Strategic Targets
wp-mobile-detector,33,46,89,Strategic Targets
yuzo-related-post,33,44,102,Strategic Targets
download-manager,32,44,99,Strategic Targets
nextgen-gallery,31,30,90,Strategic Targets
siteguard,31,34,111,Strategic Targets
uix-shortcodes,31,35,134,Strategic Targets
jh-404-logger,29,32,72,Strategic Targets
woocommerce-payments,29,29,80,Strategic Targets
checklist,28,32,80,Strategic Targets
wpcf7-redirect,28,30,60,Strategic Targets
popup-maker,27,28,57,Strategic Targets
royal-elementor-addons,27,22,60,Strategic Targets
forminator,26,28,42,Strategic Targets
the-events-calendar,26,27,57,Strategic Targets
custom-tables,25,22,47,Strategic Targets
fluent-smtp,25,27,41,Strategic Targets
knews,25,22,46,Strategic Targets
slideshow-jquery-image-gallery,25,22,49,Strategic Targets
under-construction-maintenance-mode,25,22,48,Strategic Targets
wp-seopress,25,21,48,Strategic Targets
give,24,21,41,Strategic Targets
really-simple-captcha,24,19,48,Strategic Targets
securimage-wp,24,21,46,Strategic Targets
ninja-forms,23,19,46,Strategic Targets
regenerate-thumbnails,23,18,47,Strategic Targets
stops-core-theme-and-plugin-updates,23,19,46,Strategic Targets
user-meta,23,27,73,Strategic Targets
user-role-editor,23,19,46,Strategic Targets
wp-mail-logging,23,19,45,Strategic Targets
wp-reviews-plugin-for-google,23,19,46,Strategic Targets
wpvivid-backuprestore,23,19,44,Strategic Targets
cookie-law-info,22,22,34,Strategic Targets
event-monster,22,26,72,Strategic Targets
mainwp-child,22,18,45,Strategic Targets
metform,22,18,46,Strategic Targets
official-facebook-pixel,22,18,45,Strategic Targets
password-protected,22,17,45,Strategic Targets
pdf-embedder,22,18,46,Strategic Targets
pinterest-for-woocommerce,22,18,45,Strategic Targets
pixelyoursite,22,18,45,Strategic Targets
sg-cachepress,22,18,46,Strategic Targets
sticky-header-effects-for-elementor,22,18,45,Strategic Targets
sucuri-scanner,22,18,46,Strategic Targets
templately,22,18,45,Strategic Targets
tinymce-advanced,22,18,45,Strategic Targets
under-construction-page,22,18,45,Strategic Targets
userfeedback-lite,22,18,45,Strategic Targets
webp-converter-for-media,22,18,45,Strategic Targets
woo-checkout-field-editor-pro,22,18,44,Strategic Targets
worker,22,18,45,Strategic Targets
wp-crontrol,22,18,45,Strategic Targets
wp-google-maps,22,18,47,Strategic Targets
wp-maintenance-mode,22,18,45,Strategic Targets
wp-multibyte-patch,22,18,45,Strategic Targets
wp-pagenavi,22,18,45,Strategic Targets
wp-reset,22,18,45,Strategic Targets
wp-rollback,22,18,45,Strategic Targets
easy-wp-smtp,21,17,43,Strategic Targets
ga-google-analytics,21,18,29,Strategic Targets
jetpack-boost,21,17,45,Strategic Targets
kadence-blocks,21,17,45,Strategic Targets
mailpoet,21,17,45,Strategic Targets
maintenance,21,17,44,Strategic Targets
malcare-security,21,17,45,Strategic Targets
megamenu,21,17,45,Strategic Targets
members,21,17,45,Strategic Targets
meta-box,21,17,45,Strategic Targets
ml-slider,21,17,45,Strategic Targets
newsletter,21,17,45,Strategic Targets
nextend-facebook-connect,21,17,45,Strategic Targets
one-click-demo-import,21,17,45,Strategic Targets
otter-blocks,21,17,44,Strategic Targets
protect-wp-admin,21,24,67,Strategic Targets
safe-svg,21,17,45,Strategic Targets
so-widgets-bundle,21,17,44,Strategic Targets
taxonomy-terms-order,21,17,44,Strategic Targets
translatepress-multilingual,21,17,44,Strategic Targets
webp-express,21,17,44,Strategic Targets
woo-cart-abandonment-recovery,21,17,44,Strategic Targets
woo-variation-swatches,21,17,44,Strategic Targets
wordpress-importer,21,17,44,Strategic Targets
wp-mail-smtp,21,17,44,Strategic Targets
wp-smushit,21,17,43,Strategic Targets
wpcf7-recaptcha,21,17,44,Strategic Targets
backwpup,20,19,30,Strategic Targets
